Pais,Departamento,Municipio
Colombia,Antioquia,Medellín
Colombia,Antioquia,Abejorral
Colombia,Antioquia,Abriaquí
Colombia,Antioquia,Alejandría
Colombia,Antioquia,Amagá
Colombia,Antioquia,Amalfi
Colombia,Antioquia,Andes
Colombia,Antioquia,Angelópolis
Colombia,Antioquia,Angostura
Colombia,Antioquia,Anorí
Colombia,Antioquia,Santa Fé De Antioquia
Colombia,Antioquia,Anzá
Colombia,Antioquia,Apartadó
Colombia,Antioquia,Arboletes
Colombia,Antioquia,Argelia
Colombia,Antioquia,Armenia
Colombia,Antioquia,Barbosa
Colombia,Antioquia,Belmira
Colombia,Antioquia,Bello
Colombia,Antioquia,Betania
Colombia,Antioquia,Betulia
Colombia,Antioquia,Ciudad Bolívar
Colombia,Antioquia,Briceño
Colombia,Antioquia,Buriticá
Colombia,Antioquia,Cáceres
Colombia,Antioquia,Caicedo
Colombia,Antioquia,Caldas
Colombia,Antioquia,Campamento
Colombia,Antioquia,Cañasgordas
Colombia,Antioquia,Caracolí
Colombia,Antioquia,Caramanta
Colombia,Antioquia,Carepa
Colombia,Antioquia,El Carmen De Viboral
Colombia,Antioquia,Carolina
Colombia,Antioquia,Caucasia
Colombia,Antioquia,Chigorodó
Colombia,Antioquia,Cisneros
Colombia,Antioquia,Cocorná
Colombia,Antioquia,Concepción
Colombia,Antioquia,Concordia
Colombia,Antioquia,Copacabana
Colombia,Antioquia,Dabeiba
Colombia,Antioquia,Donmatías
Colombia,Antioquia,Ebéjico
Colombia,Antioquia,El Bagre
Colombia,Antioquia,Entrerríos
Colombia,Antioquia,Envigado
Colombia,Antioquia,Fredonia
Colombia,Antioquia,Frontino
Colombia,Antioquia,Giraldo
Colombia,Antioquia,Girardota
Colombia,Antioquia,Gómez Plata
Colombia,Antioquia,Granada
Colombia,Antioquia,Guadalupe
Colombia,Antioquia,Guarne
Colombia,Antioquia,Guatapé
Colombia,Antioquia,Heliconia
Colombia,Antioquia,Hispania
Colombia,Antioquia,Itagüí
Colombia,Antioquia,Ituango
Colombia,Antioquia,Jardín
Colombia,Antioquia,Jericó
Colombia,Antioquia,La Ceja
Colombia,Antioquia,La Estrella
Colombia,Antioquia,La Pintada
Colombia,Antioquia,La Unión
Colombia,Antioquia,Liborina
Colombia,Antioquia,Maceo
Colombia,Antioquia,Marinilla
Colombia,Antioquia,Montebello
Colombia,Antioquia,Murindó
Colombia,Antioquia,Mutatá
Colombia,Antioquia,Nariño
Colombia,Antioquia,Necoclí
Colombia,Antioquia,Nechí
Colombia,Antioquia,Olaya
Colombia,Antioquia,Peñol
Colombia,Antioquia,Peque
Colombia,Antioquia,Pueblorrico
Colombia,Antioquia,Puerto Berrío
Colombia,Antioquia,Puerto Nare
Colombia,Antioquia,Puerto Triunfo
Colombia,Antioquia,Remedios
Colombia,Antioquia,Retiro
Colombia,Antioquia,Rionegro
Colombia,Antioquia,Sabanalarga
Colombia,Antioquia,Sabaneta
Colombia,Antioquia,Salgar
Colombia,Antioquia,San Andrés De Cuerquía
Colombia,Antioquia,San Carlos
Colombia,Antioquia,San Francisco
Colombia,Antioquia,San Jerónimo
Colombia,Antioquia,San José De La Montaña
Colombia,Antioquia,San Juan De Urabá
Colombia,Antioquia,San Luis
Colombia,Antioquia,San Pedro De Los Milagros
Colombia,Antioquia,San Pedro De Urabá
Colombia,Antioquia,San Rafael
Colombia,Antioquia,San Roque
Colombia,Antioquia,San Vicente Ferrer
Colombia,Antioquia,Santa Bárbara
Colombia,Antioquia,Santa Rosa De Osos
Colombia,Antioquia,Santo Domingo
Colombia,Antioquia,El Santuario
Colombia,Antioquia,Segovia
Colombia,Antioquia,Sonsón
Colombia,Antioquia,Sopetrán
Colombia,Antioquia,Támesis
Colombia,Antioquia,Tarazá
Colombia,Antioquia,Tarso
Colombia,Antioquia,Titiribí
Colombia,Antioquia,Toledo
Colombia,Antioquia,Turbo
Colombia,Antioquia,Uramita
Colombia,Antioquia,Urrao
Colombia,Antioquia,Valdivia
Colombia,Antioquia,Valparaíso
Colombia,Antioquia,Vegachí
Colombia,Antioquia,Venecia
Colombia,Antioquia,Vigía Del Fuerte
Colombia,Antioquia,Yalí
Colombia,Antioquia,Yarumal
Colombia,Antioquia,Yolombó
Colombia,Antioquia,Yondó
Colombia,Antioquia,Zaragoza
Colombia,Atlántico,Barranquilla
Colombia,Atlántico,Baranoa
Colombia,Atlántico,Campo De La Cruz
Colombia,Atlántico,Candelaria
Colombia,Atlántico,Galapa
Colombia,Atlántico,Juan De Acosta
Colombia,Atlántico,Luruaco
Colombia,Atlántico,Malambo
Colombia,Atlántico,Manatí
Colombia,Atlántico,Palmar De Varela
Colombia,Atlántico,Piojó
Colombia,Atlántico,Polonuevo
Colombia,Atlántico,Ponedera
Colombia,Atlántico,Puerto Colombia
Colombia,Atlántico,Repelón
Colombia,Atlántico,Sabanagrande
Colombia,Atlántico,Sabanalarga
Colombia,Atlántico,Santa Lucía
Colombia,Atlántico,Santo Tomás
Colombia,Atlántico,Soledad
Colombia,Atlántico,Suan
Colombia,Atlántico,Tubará
Colombia,Atlántico,Usiacurí
Colombia,Bogotá,Bogotá D. C.
Colombia,Bolívar,Cartagena De Indias
Colombia,Bolívar,Achí
Colombia,Bolívar,Altos Del Rosario
Colombia,Bolívar,Arenal
Colombia,Bolívar,Arjona
Colombia,Bolívar,Arroyohondo
Colombia,Bolívar,Barranco De Loba
Colombia,Bolívar,Calamar
Colombia,Bolívar,Cantagallo
Colombia,Bolívar,Cicuco
Colombia,Bolívar,Córdoba
Colombia,Bolívar,Clemencia
Colombia,Bolívar,El Carmen De Bolívar
Colombia,Bolívar,El Guamo
Colombia,Bolívar,El Peñón
Colombia,Bolívar,Hatillo De Loba
Colombia,Bolívar,Magangué
Colombia,Bolívar,Mahates
Colombia,Bolívar,Margarita
Colombia,Bolívar,María La Baja
Colombia,Bolívar,Montecristo
Colombia,Bolívar,Mompós
Colombia,Bolívar,Morales
Colombia,Bolívar,Norosí
Colombia,Bolívar,Pinillos
Colombia,Bolívar,Regidor
Colombia,Bolívar,Río Viejo
Colombia,Bolívar,San Cristóbal
Colombia,Bolívar,San Estanislao
Colombia,Bolívar,San Fernando
Colombia,Bolívar,San Jacinto
Colombia,Bolívar,San Jacinto Del Cauca
Colombia,Bolívar,San Juan Nepomuceno
Colombia,Bolívar,San Martín De Loba
Colombia,Bolívar,San Pablo
Colombia,Bolívar,Santa Catalina
Colombia,Bolívar,Santa Rosa
Colombia,Bolívar,Santa Rosa Del Sur
Colombia,Bolívar,Simití
Colombia,Bolívar,Soplaviento
Colombia,Bolívar,Talaigua Nuevo
Colombia,Bolívar,Tiquisio
Colombia,Bolívar,Turbaco
Colombia,Bolívar,Turbaná
Colombia,Bolívar,Villanueva
Colombia,Bolívar,Zambrano
Colombia,Boyacá,Tunja
Colombia,Boyacá,Almeida
Colombia,Boyacá,Aquitania
Colombia,Boyacá,Arcabuco
Colombia,Boyacá,Belén
Colombia,Boyacá,Berbeo
Colombia,Boyacá,Betéitiva
Colombia,Boyacá,Boavita
Colombia,Boyacá,Boyacá
Colombia,Boyacá,Briceño
Colombia,Boyacá,Buenavista
